country_na,threshold,sum
Chad,10,13.103521128304587
Malawi,10,7.149531437650361
Zambia,10,61.589710572293214
Zimbabwe,10,18.67832769158144
Botswana,10,2.642043788490907
Namibia,10,1.7716330948045822
Angola,10,97.0130671994993
Burundi,10,2.28390180640884
Rwanda,10,2.066463964373473
South Africa,10,22.634564626875182
Lesotho,10,0.12817708508961245
Swaziland,10,1.4668768228993603
Niger,10,0.026923209494381675
Sudan,10,2.7186119458732225
Libya,10,0.024780656993326454
Tunisia,10,0.2920033582504432
Egypt,10,0.95595061791897
Eritrea,10,0.0016488128279991596
Ethiopia,10,31.851754437504074
Djibouti,10,1.4094478962019376E-5
Somalia,10,3.975323098435011
Kenya,10,11.073128283851327
Uganda,10,18.38184276158388
Tanzania,10,65.48896778261674
Mozambique,10,71.04642130938478
Comoros,10,0.15788973842977616
Madagascar,10,33.356109093007326
Cabo Verde,10,0.011146388080267624
Mauritania,10,6.502349122867359E-5
Morocco,10,1.1332436673503987
Algeria,10,1.714722157987719
Mali,10,8.406427654629576
Burkina Faso,10,3.3821995975514616
Togo,10,4.318550807273554
Ghana,10,18.47719098134674
Cote d'Ivoire,10,30.962141542701804
Guinea,10,22.584377371673888
Senegal,10,4.812682914670145
"Gambia, The",10,0.4649832556191667
Guinea-Bissau,10,2.9184107806012283
Sierra Leone,10,7.133107786781839
Liberia,10,9.54765482910958
Benin,10,8.97852550741758
Nigeria,10,43.11641262781382
Cameroon,10,41.7143918228603
Equatorial Guinea,10,2.6608974782924766
Sao Tome & Principe,10,0.015215958952203434
Gabon,10,25.7615271745537
Rep of the Congo,10,33.704369396484914
Central African Rep,10,60.048535136390825
Dem Rep of the Congo,10,227.7789975603926
Japan,10,27.571137395578095
"Korea, South",10,5.719119022929709
"Korea, North",10,5.865169649223545
China,10,47.22712218517818
China,10,2.0151011895887048
China,10,36.792945607397215
China,10,103.91099433582957
Russia,10,99.31824897191649
Ukraine,10,13.224935285151696
Romania,10,8.51766670807178
Moldova,10,0.4517069585082871
Russia,10,91.28059222477786
Finland,10,22.635648511036703
Norway,10,12.429635654321435
Andorra,10,0.02083154058359698
Italy,10,10.499592767836244
Monaco,10,2.4447156865138636E-6
Malta,10,1.648715117690145E-4
San Marino,10,0.0011360656055381798
Croatia,10,2.6529857989402497
Albania,10,0.8515930154911484
Bosnia & Herzegovina,10,2.912002521266766
Montenegro,10,0.7208381842095255
Serbia,10,3.0088098767716773
Greece,10,4.791333374719301
Macedonia,10,0.9475044971678552
Bulgaria,10,4.44163318726156
Portugal,10,3.0231435972751273
Spain,10,14.31884664051525
France,10,18.408277294667798
Sweden,10,29.28418126893112
Denmark,10,0.7573104750322698
Estonia,10,2.774902622331122
Latvia,10,3.7200497518800915
Lithuania,10,2.442140824195169
Belarus,10,9.717507418511326
Poland,10,11.21185990123761
Germany,10,13.500445155465101
Czechia,10,3.256353302424617
Slovakia,10,2.484906309679382
Hungary,10,2.2347429970089223
Slovenia,10,1.3608682925798175
Austria,10,4.525449977725082
Switzerland,10,1.654507323930141
Liechtenstein,10,0.009774266588340987
Luxembourg,10,0.10723799073513286
Netherlands,10,0.7553053488566808
Belgium,10,0.9787014647237912
United Kingdom,10,4.4947774728326015
Ireland,10,1.101944458190142
Iceland,10,0.0
Russia,10,231.6519967973583
Russia,10,187.50408865355982
Mongolia,10,6.189697570233922
Russia,10,136.44144720598382
Russia,10,139.96517473275838
Maldives,10,0.0010454774906270112
Bhutan,10,2.6781579133982167
Afghanistan,10,0.427304646796594
Pakistan,10,1.657261002508004
